Species	gene_name	gene	Protein_accession	Seq_length	Analysis	Signature_accession	Signature_description	Start	Stop	Score	InterPro_accession	InterPro_annotation	Domain_name
H. sapiens	HsMDA5	NG_011495.1	NP_071451.2	1025	Pfam	PF16739	Caspase recruitment domain	8	97	2.10E-20	IPR031964	Caspase recruitment domain	CARD (PF16739)
H. sapiens	HsMDA5	NG_011495.1	NP_071451.2	1025	Pfam	PF16739	Caspase recruitment domain	111	200	1.10E-23	IPR031964	Caspase recruitment domain	CARD (PF16739)
H. sapiens	HsLGP2	DHX58	NP_077024.2	678	Pfam	PF00271	Helicase conserved C-terminal domain	351	474	7.40E-19	IPR001650	"Helicase, C-terminal"	"Helicase, C-terminal (PF00271)"
H. sapiens	HsLGP2	DHX58	NP_077024.2	678	Pfam	PF18119	RIG-I receptor C-terminal domain	216	342	4.70E-33	IPR041204	"RIG-I receptor, C-terminal"	"RLR, C-terminal (PF18119)"
H. sapiens	HsLGP2	DHX58	NP_077024.2	678	Pfam	PF04851	"Type III restriction enzyme, res subunit"	1	170	5.00E-18	IPR006935	"Helicase/UvrB, N-terminal"	"Helicase/UvrB, N-terminal (PF04851)"
H. sapiens	HsLGP2	DHX58	NP_077024.2	678	Pfam	PF11648	C-terminal domain of RIG-I	552	666	1.80E-35	IPR021673	"RIG-I-like receptor, C-terminal regulatory domain"	"RLR, regulatory domain (PF11648)"
Nematostella	NvRLR	LOC5516210	XP_001636291.2	1066	Pfam	PF18119	RIG-I receptor C-terminal domain	591	711	5.20E-21	IPR041204	"RIG-I receptor, C-terminal"	"RLR, C-terminal (PF18119)"
Nematostella	NvRLR	LOC5516210	XP_001636291.2	1066	Pfam	PF00271	Helicase conserved C-terminal domain	727	848	1.10E-16	IPR001650	"Helicase, C-terminal"	"Helicase, C-terminal (PF00271)"
Nematostella	NvRLR	LOC5516210	XP_001636291.2	1066	Pfam	PF00270	DEAD/DEAH box helicase	361	539	1.70E-19	IPR011545	DEAD/DEAH box helicase domain	DExD/H-box helicase (PF00270)
Nematostella	NvRLR	LOC5516210	XP_001636291.2	1066	Pfam	PF16739	Caspase recruitment domain	2	88	1.40E-20	IPR031964	Caspase recruitment domain	CARD (PF16739)
Nematostella	NvRLR	LOC5516210	XP_001636291.2	1066	Pfam	PF11648	C-terminal domain of RIG-I	929	1041	4.80E-31	IPR021673	"RIG-I-like receptor, C-terminal regulatory domain"	"RLR, regulatory domain (PF11648)"
B. glabrata	BgRLR	LOC106061310	XP_013074851.1	722	Pfam	PF18119	RIG-I receptor C-terminal domain	422	566	2.80E-13	IPR041204	"RIG-I receptor, C-terminal"	"RLR, C-terminal (PF18119)"
B. glabrata	BgRLR	LOC106061310	XP_013074851.1	722	Pfam	PF00271	Helicase conserved C-terminal domain	583	696	2.00E-17	IPR001650	"Helicase, C-terminal"	"Helicase, C-terminal (PF00271)"
B. glabrata	BgRLR	LOC106061310	XP_013074851.1	722	Pfam	PF00270	DEAD/DEAH box helicase	209	377	2.90E-19	IPR011545	DEAD/DEAH box helicase domain	DExD/H-box helicase (PF00270)
B. glabrata	BgRLR	LOC106061291	XP_013074821.1	785	Pfam	PF00270	DEAD/DEAH box helicase	48	181	4.70E-21	IPR011545	DEAD/DEAH box helicase domain	DExD/H-box helicase (PF00270)
B. glabrata	BgRLR	LOC106061291	XP_013074821.1	785	Pfam	PF00271	Helicase conserved C-terminal domain	427	545	3.10E-18	IPR001650	"Helicase, C-terminal"	"Helicase, C-terminal (PF00271)"
B. glabrata	BgRLR	LOC106061291	XP_013074821.1	785	Pfam	PF11648	C-terminal domain of RIG-I	622	742	1.40E-12	IPR021673	"RIG-I-like receptor, C-terminal regulatory domain"	"RLR, regulatory domain (PF11648)"
B. glabrata	BgRLR	LOC106061291	XP_013074821.1	785	Pfam	PF18119	RIG-I receptor C-terminal domain	262	413	2.80E-16	IPR041204	"RIG-I receptor, C-terminal"	"RLR, C-terminal (PF18119)"
