Category	Group	Type	Subtype_name	Subtype	req_domain_code	Required_domains	less_strict	Alt_req	Cannot_have	Uniprot_human	Uniprot_DroMel	citation	DOI	Link
IMMUNITY	Effector Genes	Antiviral	Apolipoprotein B Editing Complex 3 proteins	APOBEC3	"CMP_dCMP_dom,APOBEC/CMP_deaminase_Zn-bd"	"IPR002125,IPR016192"	IPR040551			"Q96AK3,Q9HC16,Q8IUX4,Q6NTF7,Q9NRW3,Q9UH17,P31941"		Goubau et al. 2013	10.1016/j.immuni.2013.05.007	https://www.sciencedirect.com/science/article/pii/S1074761313002045
IMMUNITY	Effector Genes	Antiviral	Caveolin	CAV	Caveolin_CS	IPR018361	IPR001612			Q03135		Green et al. 2015	10.1099/jgv.0.000244	https://www.microbiologyresearch.org/content/journal/jgv/10.1099/jgv.0.000244#tab2
IMMUNITY	Effector Genes	Antiviral	Deoxynucleoside triphosphate triphosphohydrolase SAMHD	SAMHD	"SAM, HD_dom"	"IPR001660,IPR006674"	"IPR013761,IPR003607"			Q9Y3Z3		Goubau et al. 2013	10.1016/j.immuni.2013.05.007	https://www.sciencedirect.com/science/article/pii/S1074761313002045
IMMUNITY	Effector Genes	Antiviral	Double-stranded RNA-specific adenosine deaminase	ADAR	"A_deamin,ADAR1_DSRM_1,ADAR1_DSRM_3,dsRBD_dom,Z_dom"	"IPR002466,IPR044456,IPR044457,IPR014720,IPR042371"	"IPR002466,IPR014720,IPR042371"			"P55265,P78563"	Q9NII1	Lamers et al. 2019	10.3389/fimmu.2019.01763	https://www.frontiersin.org/articles/10.3389/fimmu.2019.01763/full
IMMUNITY	Effector Genes	Antiviral	Gilt	Gilt	Interferon-induced_GILT	IPR004911				P13284		Green et al. 2016	10.1186/s13567-016-0356-7	https://pubmed.ncbi.nlm.nih.gov/27439510/
IMMUNITY	Effector Genes	Antiviral	Interferon-induced GTP-binding protein Mx	Mx	"GED,Dynamin_GTPase,Dynamin_stalk,Dynamin_N"	"IPR003130,IPR001401,IPR000375,IPR045063"	"IPR020850,IPR030381,IPR027417"			P20591		Green et al. 2015	10.1099/jgv.0.000244	https://www.microbiologyresearch.org/content/journal/jgv/10.1099/jgv.0.000244#tab2
IMMUNITY	Effector Genes	Antiviral	Interferon-induced protein 44 	IFI44	"TLDc_dom,P-loop_NTPase"	"IPR006571,IPR027417"	IPR024644			Q8TCB0		Green and Speck 2018	10.3390/v10030133	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5869526/
IMMUNITY	Effector Genes	Antiviral	Interferon-induced transmembrane protein-like	IFITML	CD225/Dispanin_fam	IPR007593				"P13164,Q01629,Q01628,A6NNB3"		Goubau et al. 2013	10.1016/j.immuni.2013.05.007	https://www.sciencedirect.com/science/article/pii/S1074761313002045
IMMUNITY	Effector Genes	Antiviral	Protein mono-ADP-ribosyltransferase	PARPs	Poly(ADP-ribose)pol_cat_dom	IPR012317				"P09874,Q9UGN5,Q9Y6F1,Q9UKK3,O95271,Q2NL67,Q7Z3E1,Q8N3A8,Q8IXQ6,Q53GL7,Q9NR21,Q9H0J9,Q3UPF5,Q460N5,Q460N3,Q8N5Y8"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Antiviral	Ribonuclease L	RNASEL	"Ankyrin_rpt, RNase-L_Rnase,Prot_kinase_dom"	"IPR002110,IPR042745,IPR000719"	"IPR036770,IPR010513,IPR011009"			Q05823		Goubau et al. 2013	10.1016/j.immuni.2013.05.007	https://www.sciencedirect.com/science/article/pii/S1074761313002045
IMMUNITY	Effector Genes	Antiviral	Tetherines (Bone marrow stromal antigen 2-like)	BST2L	BST2	IPR024886				Q10589		Goubau et al. 2013	10.1016/j.immuni.2013.05.007	https://www.sciencedirect.com/science/article/pii/S1074761313002045
IMMUNITY	Effector Genes	Antiviral	Tripartite motif-containing protein 5	TRIM5	"SPRY,Znf-RING_LisH,Znf_B-box"	"IPR003877,IPR027370,IPR000315"	"IPR043136,IPR000315,IPR013083"			Q9C035		Goubau et al. 2013	10.1016/j.immuni.2013.05.007	https://www.sciencedirect.com/science/article/pii/S1074761313002045
IMMUNITY	Effector Genes	Antiviral	viperins (Radical S-adenosyl methionine domain-containing proteins)	RSADs	"rSAM,Aldolase_TIM"	"IPR007197,IPR013785"				"Q9HA92,Q8WXG1"		Goubau et al. 2013	10.1016/j.immuni.2013.05.007	https://www.sciencedirect.com/science/article/pii/S1074761313002045
IMMUNITY	Effector Genes	Antiviral	zinc finger NFX1-type containing 1	ZNFX1	"DNA2/NAM7_AAA_11,DNA2/NAM7-like_C,Znf_NFX1,ARM-type_fold"	"IPR041677,IPR041679,IPR000967,IPR016024"	"IPR045055,IPR041677,IPR041679"			Q9P2E3		Blasi et al. 2022	10.1016/j.fsi.2022.01.019	https://www.sciencedirect.com/science/article/pii/S1050464822000286#appsec1
IMMUNITY	Effector Genes	Antiviral	Zinc-finger antiviral proteins	ZAP	"Poly(ADP-ribose)pol_cat_dom, WWE-dom, ZAP_HTH,Znf-CCCH_8,Znf_CCCH"	"IPR012317,IPR004170,IPR041360,IPR040954,IPR000571"	"IPR004170,IPR041360,IPR040954,IPR000571"			Q7Z2W4		Meagher et al. 2019	10.1073/pnas.1913232116	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6883784/
IMMUNITY	Effector Genes	Autophagy	Beclin	Beclin	"Atg6/beclin_CC,Atg6_BARA,BH3_dom"	"IPR041691,IPR040455,IPR029318"	IPR038274			Q14457		Green et al. 2016	10.1186/s13567-016-0356-7	https://pubmed.ncbi.nlm.nih.gov/27439510/
IMMUNITY	Effector Genes	Complement	alpha-2-macroglobulin containing proteins	A2M	Macroglobln_a2	IPR001599				P01023		Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Effector Genes	Complement	C1q domain containing proteins 	C1qDC	C1qD	IPR001073						Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Effector Genes	Complement	Cluster of Differentiation 109	CD109	"A-macroglobulin_rcpt-bd,A2M_N_BRD,A2M_TED,Macroglobln_a2,MG2,MG3"	"IPR009048,IPR011625,IPR041813,IPR013783,IPR001599,IPR002890,IPR041555"	"IPR036595,IPR011626,IPR011625,IPR041813,IPR013783,IPR001599"		"IPR010916,IPR040839"	Q6YHK3		Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Effector Genes	Complement	Complement proteins 3/4/5	C3/4/5	"Netrin_domain,A-macroglobulin_rcpt-bd,Alpha-macroglobulin_TED"	"IPR001134,IPR009048,IPR011626"	"IPR008993,IPR036595"			"P01024,P0C0L4,P0C0L5,P01031"		Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Effector Genes	Complement	Factor B-like	CFB	"VWF_A,Sushi_SCR_CCP_dom,Trypsin_dom"	"IPR002035,IPR000436,IPR001254"	IPR011360			P00751		Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Effector Genes	Complement	Multiple epidermal growth factor-like domains protein 10	MEGF10	"EGF-like_Ca-bd_dom,EGF-like_dom,EMI_domain"	"IPR001881,IPR000742,IPR011489"				Q96KG7		Green et al. 2016	10.1186/s13567-016-0356-7	https://pubmed.ncbi.nlm.nih.gov/27439510/
IMMUNITY	Effector Genes	Complement	thioester containing protein (thioester)	TEP	Alpha-macroglobulin_TED	IPR011626						Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
REGULATORY PATHWAYS	Effector Genes	E3 Ubiquitin ligases	Cullin	CUL	Cullin_homology	IPR016158	IPR036317			Q13616		Li et al. 2022	10.1007/s00251-021-01236-3	https://pubmed.ncbi.nlm.nih.gov/34854945/
REGULATORY PATHWAYS	Effector Genes	E3 Ubiquitin ligases	F-box/LRR-repeat protein	FBXL	"F-box_dom, LRR_dom_sf"	"IPR001810,IPR032675"	"IPR036047,IPR032675"			"Q9UKC9,Q9UKT7"		Li et al. 2022	10.1007/s00251-021-01236-3	https://pubmed.ncbi.nlm.nih.gov/34854945/
REGULATORY PATHWAYS	Effector Genes	E3 Ubiquitin ligases	S-phase kinase-associated protein 1	SKIP1	"Skp1_comp_POZ,Skp1_comp_dimer"	"IPR016073,IPR016072"	"IPR011333,IPR036296"			Q13616		Li et al. 2022	10.1007/s00251-021-01236-3	https://pubmed.ncbi.nlm.nih.gov/34854945/
REGULATORY PATHWAYS	Effector Genes	E3 Ubiquitin ligases	Tumor necrosis factor alpha-induced protein 3/A20-like	TNAP3/A20	"Znf_A20,OTU_dom"	"IPR002653,IPR003323"	IPR033478			P21580		Philipp et al. 2012	10.1371/journal.pone.0033091	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3308963/
IMMUNITY	Effector Genes	Lysozyme	Lysozyme	Lysozyme	Glyco_hydro_22_CS	IPR019799	IPR023346			P61626		Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Effector Genes	Metabolism	Alcohol dehydrogenase-like	ADH	ADH-like_C	IPR013149				"P07327,P00325,P00326,P08319,P40394,P11766"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Metabolism	Estrogen receptor/oestrogen-related receptors	ERR	"Nucl_hrmn_rcpt_lig-bd,Znf_hrmn_rcpt,Est_rcpt/est-rel_rcp"	"IPR000536,IPR001628,IPR024178"	IPR024178			"P11474,O95718"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Metabolism	Ferritins	Ferritin	Ferritin_DPS_dom	IPR008331	IPR001519			"P02792,P02794"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Metabolism	Retinoid X receptor	RXR	"Retinoid-X_rcpt/HNF4,Znf_hrmn_rcpt,Nucl_hrmn_rcpt_lig-bd,Nuc_recep-AF1"	"IPR000003,IPR001628,IPR000536,IPR021780"	IPR000003			"P19793,P28704,P48443"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Metabolism	Serine/threonine-protein phosphatase PP1	PP1	"Ser/Thr-sp_prot-phosphatase,STPPase_N"	"IPR006186,IPR031675"	IPR037979			"P62136,P62140,P36873"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Metabolism	Ubiquitin-like proteins	Ubiquitin-like	Ubiquitin-like_dom	IPR000626						Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Phenoloxidase/melanisation-type reaction	Laccase 	Laccase 	"CuRO_1_LCC,CuRO_2_LCC"	"IPR034288,IPR034285"	IPR001117			Q8IV20		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Phenoloxidase/melanisation-type reaction	Phenoloxidase	proPO	"Hemocyanin/hexamerin_mid_dom,Hemocyanin_C,Hemocyanin_N,Tyrosinase_Cu-bd,Ig_E-set"	"IPR000896,IPR005203,IPR005204,IPR002227,IPR014756"	"IPR008922,IPR037020,IPR036697"				"Q9V521,Q9W1V6"	Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Phenoloxidase/melanisation-type reaction	Tyrosinase	Tyrosinase	Tyrosinase_Cu-bd	IPR002227				"P14679,P17643"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	RNAi	Argonaute	AGO	"Argonaute_Mid_dom,Argonaute_N,PAZ_dom,Piwi,ArgoL1,ArgoL2"	"IPR032473,IPR032474,IPR003100,IPR003165,IPR014811,IPR032472"	"IPR003165,IPR036085,IPR032473"			Q9UKV8		Green and Speck 2018	10.3390/v10030133	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5869526/
IMMUNITY	Effector Genes	RNAi	Dicer	Dicer	"DICER_DSRM,RNase_III_dom,PAZ_dom"	"IPR044441,IPR000999,IPR003100"	"IPR014720,IPR038248,IPR036085,IPR036389"			Q9UPY3		Green and Speck 2018	10.3390/v10030133	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5869526/
IMMUNITY	Effector Genes	RNAi	Piwi-like 	PIWI	"Piwi,ArgoL1,PAZ_dom"	"IPR003165,IPR014811,IPR003100"	IPR003165			Q96J94		Buddenbor et al. 2017	10.1371/journal.pntd.0005984	https://www.ncbi.nlm.nih.gov/pubmed/29045404
IMMUNITY	Effector Genes	RNAi	RISC-loading complex subunit TARBP	TRBP	"TRBP2_DSRM_1,TRBP2_DSRM_2,TRBP2_DSRM_3"	"IPR044469,IPR044470,IPR044471"	"IPR014720,IPR028605"			Q15633		Green et al. 2015	10.1099/jgv.0.000244	https://www.microbiologyresearch.org/content/journal/jgv/10.1099/jgv.0.000244#tab2
IMMUNITY	Effector Genes	ROS	Dual oxidase	DUOX	"EF-hand-dom_pair, EF_hand_dom, FAD-bd_8, FAD-bd_FR_type, Fe3_Rdtase_TM_dom, FNR_nucleotide-bd, Haem_peroxidase_animal, Riboflavin_synthase-like_b-brl"	"IPR011992,IPR002048,IPR013112,IPR017927,IPR013130,IPR039261,IPR019791,IPR017938"				"Q9NRD9,Q9NRD8"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	ROS	Dual oxidase maturation factor	DUOXA	Dual_oxidase_maturation_fac	IPR018469				"Q1HG43,Q1HG44"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	ROS	L-Amino Oxidase	LAAO 	Amino_oxidase	IPR002937				Q96RQ9		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	ROS	NADPH oxidase	NOX	"FAD-bd_FR_type,Fe3_Rdtase_TM_dom,Fe_red_NAD-bd_6"	"IPR017927,IPR013130,IPR013121"	IPR000778			"Q9Y5S8,Q9HBY0,Q9NPH5"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	ROS	Nitric-oxide synthase	NOS	"NOS_N,Flavodoxin/NO_synt"	"IPR004030,IPR008254"	IPR008254			"P29475,P35228,P29474"		Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Effector Genes	ROS	Peroxidasin	PRXDN	Peroxidasin_peroxidase	IPR034824	IPR029610			"Q92626,A1KZ92"	Q9VZZ4	Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Stress responses	Heat shock 20 kDa protein	HSP20	A-crystallin/Hsp20_dom	IPR002068	IPR008978					Green et al. 2016	10.1186/s13567-016-0356-7	https://pubmed.ncbi.nlm.nih.gov/27439510/
IMMUNITY	Effector Genes	Stress responses	Heat shock 70 kDa protein	HSP70	Heat_shock_70_CS	IPR018181	IPR013126			"P0DMV8,P0DMV9,P34931"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Stress responses	Heat shock 90 kDa protein	HSP90	"Heat_shock_protein_90_CS,Hsp90_N,HATPase_C"	"IPR019805,IPR020575,IPR003594"	IPR001404			"P07900,P08238"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Effector Genes	Stress responses	Heat shock factor protein	HSF	"HATPase_C,HSF_DNA-bd"	"IPR003594,IPR000232"	IPR027725			"Q00613,Q03933"		Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Immune receptor	DExD/H-box helicases	ATP-dependent RNA helicase DDX1	DDX1	"DEAD/DEAH_box,SPRY_dom,B30.2/SPRY"	"IPR011545,IPR003877,IPR001870"	"IPR011545,IPR027417,IPR043136"			Q92499		Su et al. 2022	10.1007/s00018-021-04072-6	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8671602/
IMMUNITY	Immune receptor	DExD/H-box helicases	ATP-dependent RNA helicase DDX21	DDX21	"DEAD/DEAH_box,GUCT"	"IPR011545,IPR012562"	"IPR011545,IPR035979"			Q9NR30		Su et al. 2023	10.1007/s00018-021-04072-6	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8671602/
IMMUNITY	Immune receptor	DExD/H-box helicases	ATP-dependent RNA helicase DDX41	DDX41	"DEAD/DEAH_box,DEADc_DDX41"	"IPR011545,IPR044113"				Q9UJV9		Su et al. 2027	10.1007/s00018-021-04072-6	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8671602/
IMMUNITY	Immune receptor	DExD/H-box helicases	ATP-dependent RNA helicase DHX15	DHX15	"DEAD/DEAH_box,DHX15_DEXHc"	"IPR011545,IPR044756"				O43143		Su et al. 2025	10.1007/s00018-021-04072-6	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8671602/
IMMUNITY	Immune receptor	DExD/H-box helicases	ATP-dependent RNA helicase DHX9	DHX9	"DEAD/DEAH_box,DHX9_DSRM_1,DHX9_DSRM_2"	"IPR011545,IPR044445,IPR044446"	"IPR011545,IPR014720"			Q08211		Su et al. 2027	10.1007/s00018-021-04072-6	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8671602/
IMMUNITY	Immune receptor	DExD/H-box helicases	ATP-dependent RNA helicase with DEAD Q motif	DDX_DEAD_Q	"DEAD/DEAH_box,RNA_helicase_DEAD_Q_motif"	"IPR011545,IPR014014"				"O00148,Q13838,Q9UJV9,Q9NY93,Q9NY93,P26196,Q9BUQ8,Q9GZR7,O00571,O15523,Q92841,Q9NUU7,Q9UMR2"		Su et al. 2024	10.1007/s00018-021-04072-6	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8671602/
IMMUNITY	Immune receptor	DExD/H-box helicases	ATP-dependent RNA helicases with Domain of unknown function 1605	DHX_DUF1605	"DEAD/DEAH_box,DUF1605"	"IPR011545,IPR011709"				"Q7L2E3,Q7Z478,Q9H2U1,Q9H6R0,Q7L2E3"		Su et al. 2026	10.1007/s00018-021-04072-6	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8671602/
IMMUNITY	Immune receptor	DExD/H-box helicases	DExD/H-box helicases - other	DExD/H-box	DEAD/DEAH_box	IPR011545			"IPR041204,IPR021673"			Su et al. 2021	10.1007/s00018-021-04072-6	https://pubmed.ncbi.nlm.nih.gov/34910251/
IMMUNITY	Immune receptor	Gene associated with VDJ recombination	RAG-like	RAG-like	C2H2 RAG1-type zinc finger	IPR019485	"IPR018957,IPR035714"			"P15918,P55895"		Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Immune receptor	lectins	Apextrin	Apextrin	ApeC	IPR031569						Gerdol 2017	10.25431/1824-307X/isj.v14i1.103-118	https://www.isj.unimore.it/index.php/ISJ/article/view/29/332
IMMUNITY	Immune receptor	lectins	C-type lectin domain containing proteins	CTLDC	CTLD	IPR001304	IPR016187					Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Immune receptor	lectins	Chitinases	Chi-lectin	Glyco_hydro18_cat	IPR001223						Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Immune receptor	lectins	F-box domain containing lectins	F-box lectins	"F-box_dom,F-box-assoc_dom,Galactose-bd-like_sf"	"IPR001810,IPR007397,IPR008979"						Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Immune receptor	lectins	Fibrinogen domain containing protein	FBGDC	Fibrinogen_a/b/g_C_dom	IPR002181						Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Immune receptor	lectins	Fucolectin	F-type lectins	FTP1	IPR006585						Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
IMMUNITY	Immune receptor	lectins	Galectin domain containg proteins	Galectin	Gal_CRD	IPR001079						Zhang et al. 2015	10.1038/srep08693	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346834/
IMMUNITY	Immune receptor	lectins	H-type lectins	H-type lectin	H-type_lectin_domain	IPR019019	IPR037221					Gerdol 2017	10.25431/1824-307X/isj.v14i1.103-118	https://www.isj.unimore.it/index.php/ISJ/article/view/29/332
IMMUNITY	Immune receptor	lectins	immunoglobulin lectins	I-type lectins	Ig_I-set	IPR013098						Seppala et al. 2021	10.1186/s12864-021-07428-1	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07428-1
