Category	Subcategory	Protein family	Subtype	Number	Unigenes
Effector	Cytolytic pathways	Defensin	defensin	4	"Locus_38101,Locus_28031,Locus_1562, Locus_13246, "
Effector	Cytolytic pathways	Big defensin	Big defensin	2	"Locus_5890_T3, Locus_5890_T4"
Effector	Cytolytic pathways	Perfoin-related (MACPF domain containing protein)	MACPF	7	"CL863Contig1, Locus_11886, Locus_1209, Locus_1209, Locus_18875, Locus_22594, Locus_2859"
Effector	Additional cytotoxic effectors and regulators	NOS	NOS	1	Locus_7180
Effector	Additional cytotoxic effectors and regulators	Catalase	CAT	3	"CL9Contig1, Locus_1752_T10, Locus_1752_T9"
Effector	Additional cytotoxic effectors and regulators	BPI/LBP	LBP/BPI	2	"Locus_2856, Locus_30788"
Effector	Additional cytotoxic effectors and regulators	Glutathione peroxidase	GPX	6	"Locus_3127,Locus_43640, Locus_45472, Locus_4897_T1, Locus_803, Locus_8855"
Effector	Additional cytotoxic effectors and regulators	SOD	SOD	5	"CL5Contig1, CL813Contig1, Locus_117, Locus_28512, Locus_5484"
Intracellular signal transduction	NFkB	IkB	IkB	5	"CL711Contig1, Locus_29697, Locus_8161, Locus_20580, Locus_2464"
Intracellular signal transduction	NFkB	IKK	IKK	2	"Locus_11779_T1, Locus_11779_T3,"
Intracellular signal transduction	NFkB	NF-kB	NFkB	4	"Locus_2464, Locus_3541, Locus_8161, CL711Contig1"
Intracellular signal transduction	NFkB	TBK	TBK1	1	Locus_29157
Intracellular signal transduction	NFkB	TRAF1-6 	TRAF	11	"Locus_11104, Locus_11862, Locus_13458, Locus_13519, Locus_18539, Locus_1922, Locus_29580, Locus_3042 ,Locus_31100, Locus_4047, Locus_8268"
Intracellular signal transduction	NFkB	IRAK	IRAK	2	"Locus_7382, Locus_25915"
Intracellular signal transduction	NFkB	TRIAD	HOIL1	1	Locus_15783
Intracellular signal transduction	NFkB	p38	p38	1	Locus_3710
Intracellular signal transduction	NFkB	TAK1	TAK1	2	"Locus_2440_T2, Locus_2440_T4"
Intracellular signal transduction	NFkB	AP-1	AP-1	1	Locus_1668
Intracellular signal transduction	TLR adaptor moleculues	MYD88	MyD88	6	"Locus_15135, Locus_19152_T3, Locus_19152_T4, Locus_19152_T5, Locus_26100, Locus_7749"
Intracellular signal transduction	TLR adaptor moleculues	SARM	SARM	2	"Locus_21529, Locus_31477"
 Cytokines and Growth Factors	"Interleukins, Cytokines and Hematopoietins"	MIF	MIF	3	"Locus_56138,Locus_774_T1, Locus_774_T2"
Cytokines and Growth Factors	"Interleukins, Cytokines and Hematopoietins"	Pellino	Pellino	1	Locus_19530
Apoptosis system	TNF pathway	TNF superfamily	TNF	6	"Locus_1733_T3, Locus_1733_T4, Locus_17826, Locus_24817, Locus_4045, Locus_64162"
Apoptosis system	TNF pathway	TNFR Superfamily	TNFR	9	"Locus_24767, Locus_30365, Locus_3072_T2, Locus_3072_T3, Locus_32135, Locus_33291, Locus_5117_T2, Locus_5117_T3"
Apoptosis system	Caspase	FADD	FADD	1	Locus_25830
Apoptosis system	Caspase	Caspase	Caspase	31	"CL451Contig1, CL47Contig1, Locus_12323, Locus_14705, Locus_159_T5, Locus_159_T7, Locus_17724, Locus_18933_T1, Locus_18933_T2, Locus_19065, Locus_2032, Locus_2472, Locus_2507_T4, Locus_2507_T5, Locus_2507_T6, Locus_26469, Locus_26686, Locus_27972, Locus_311, Locus_33605, Locus_47039, Locus_50660, Locus_55856, Locus_63039, Locus_6551_T3, Locus_6551_T7, Locus_8204_T4, Locus_8204_T5, Locus_8204_T6, Locus_8204_T8, Locus_8431"
Apoptosis system	Caspase	IAP	IAPs	40	"CL847Contig1, Locus_11493, Locus_11548, Locus_12138, Locus_1285_T7, Locus_1285_T8, Locus_13158, Locus_13491, Locus_14436, Locus_1892_T12, Locus_1892_T13, Locus_19268, Locus_21397, Locus_22075, Locus_2467, Locus_31457, Locus_327_T3, Locus_327_T5, Locus_32987, Locus_3456_T3, Locus_3456_T4, Locus_3763, Locus_3776_T5, Locus_3776_T6, Locus_40288, Locus_4263, Locus_52, Locus_5396, Locus_6252, Locus_65027, Locus_6728, Locus_6878, Locus_7466_T1, Locus_7466_T2, Locus_7466_T3, Locus_7466_T4, Locus_7466_T7, Locus_7466_T9, Locus_761, Locus_7848"
Apoptosis system	Caspase	Bcl-2	Bcl2-like	10	"Locus_11970_T3, Locus_11970_T4, Locus_30440, Locus_6345, Locus_6388, Locus_7265, Locus_7628_T1, Locus_7628_T3, Locus_8824_T1, Locus_8824_T2"
Apoptosis system	Caspase	Bax	Bcl2-like	1	Locus_11526
